row_id,severity,reason_code,detector,message,evidence,recommended_action,anomaly_score,country,region,category,time_period,total
1608,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,year_over_year_change=13.429; log1p_total=4.625; quarter=4.000,"Review component mix, period changes, and supporting source records.",0.7190784208447059,Fiji,EAST ASIA AND PACIFIC,Gross Disbursements,FY25,101.0
182,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=4.762; quarter=3.000; others_share=1.000,"Review component mix, period changes, and supporting source records.",0.7102553066764663,IFC,OTHER,Commitments,2026-Q3,116.0
1291,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=5.939; disbursement_commitment_ratio=4.731; quarter=3.000,"Review component mix, period changes, and supporting source records.",0.7097388486487963,Cambodia,EAST ASIA AND PACIFIC,Gross Disbursements,2025-Q3,378.51
155,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=4.949; disbursement_commitment_ratio=3.250; quarter=3.000,"Review component mix, period changes, and supporting source records.",0.7081234159218553,Senegal,WESTERN AND CENTRAL AFRICA,Commitments,2026-Q3,140.0
1167,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=4.369; quarter=3.000; disbursement_commitment_ratio=1.295,"Review component mix, period changes, and supporting source records.",0.7028774724534238,"Gambia, The",WESTERN AND CENTRAL AFRICA,Commitments,2025-Q3,78.0
388,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=5.817; quarter=4.000; relative_change=1.913,"Review component mix, period changes, and supporting source records.",0.7010850389780392,MIGA,OTHER,Commitments,FY23,335.0
227,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=6.120; quarter=3.000; disbursement_commitment_ratio=1.206,"Review component mix, period changes, and supporting source records.",0.699299448535408,Rwanda,EASTERN AND SOUTHERN AFRICA,Commitments,2025-Q3,454.0
1865,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,quarter=4.000; log1p_total=3.367; relative_change=1.800,"Review component mix, period changes, and supporting source records.",0.6940452847283383,Jordan,MIDDLE EAST AND NORTH AFRICA,Gross Disbursements,FY21,28.0
897,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=18.412; year_over_year_change=18.412; log1p_total=5.802,"Review component mix, period changes, and supporting source records.",0.6935569292179774,"Yemen, Republic of",MIDDLE EAST AND NORTH AFRICA,Gross Disbursements,FY17,330.0
87,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=6.071; quarter=3.000; disbursement_commitment_ratio=1.509,"Review component mix, period changes, and supporting source records.",0.6917561296036133,Uzbekistan,EUROPE AND CENTRAL ASIA,Commitments,2026-Q3,432.0
